@target G0.S0
1.161 0.793
&
@target G2.S0
@type xy
-0.2 6.809
-0.167 6.077
-0.133 5.77
-0.1 5.413
-0.067 5.215
-0.033 4.814
-0 4.599
0.033 4.194
0.067 4.391
0.1 4.403
0.133 4.474
0.167 4.455
0.2 4.558
0.233 5.04
0.267 5.556
0.3 5.965
0.333 6.408
0.367 6.435
0.4 6.589
0.433 6.615
0.467 5.995
0.5 5.546
0.533 4.977
0.567 4.384
0.6 3.938
0.633 3.32
0.667 2.537
0.7 1.883
0.733 1.423
0.767 0.951
0.8 0.747
0.833 0.45
0.867 0.219
0.9 0.173
0.933 0.145
0.967 0
1 0.097
1.033 0.189
1.067 0.439
1.1 0.878
&
@target G2.S1
@type xy
-0.097 1.019
-0.065 0.582
-0.032 0.217
0 0.155
0.032 0.181
0.065 0.102
0.097 0.156
0.129 0.244
0.161 0.399
0.194 0.704
0.226 0.678
0.258 0.931
0.29 1.178
0.323 1.41
0.355 1.407
0.387 1.383
0.419 1.316
0.452 1.25
0.484 1.351
0.516 1.376
0.548 1.399
0.581 1.253
0.613 1.024
0.645 0.829
0.677 0.607
0.71 0.417
0.742 0.279
0.774 0.232
0.806 0.305
0.839 0.429
0.871 0.387
0.903 0.133
0.935 0.125
0.968 0.111
1 0
1.032 0.105
1.065 0.267
1.097 0.49
1.129 0.748
1.161 1.008
&
@target G3.S0
@type xy
-0.222 1.509
-0.185 1.367
-0.148 1.299
-0.111 1.178
-0.074 0.941
-0.037 0.586
0 0.299
0.037 0.23
0.074 0.231
0.111 0.274
0.148 0.715
0.185 1.057
0.222 1.439
0.259 1.638
0.296 1.999
0.333 2.481
0.37 2.668
0.407 2.69
0.444 2.599
0.481 2.292
0.519 2.2
0.556 2.18
0.593 2.123
0.63 1.944
0.667 1.775
0.704 1.653
0.741 1.504
0.778 1.3
0.815 0.945
0.852 0.593
0.889 0.364
0.926 0.091
0.963 0
1 0.141
1.037 0.386
1.074 0.627
1.111 0.933
1.148 1.169
1.185 1.497
1.222 1.749
&
@target G3.S1
@type xy
-0.138 1.511
-0.103 0.873
-0.069 0.62
-0.034 0.397
0 0.151
0.034 0.11
0.069 0.111
0.103 0.065
0.138 0.215
0.172 0.426
0.207 0.553
0.241 0.547
0.276 0.623
0.31 0.745
0.345 0.862
0.379 1.012
0.414 1.23
0.448 1.458
0.483 1.41
0.517 1.184
0.552 1.072
0.586 0.737
0.621 0.69
0.655 0.767
0.69 0.515
0.724 0.179
0.759 0.012
0.793 0
0.828 0.046
0.862 0.11
0.897 0.294
0.931 0.344
0.966 0.174
1 0.051
1.034 0.156
1.069 0.253
1.103 0.379
1.138 0.551
1.172 0.752
&
@target G4.S0
@type xy
-0.148 1.515
-0.111 0.983
-0.074 0.836
-0.037 0.584
0 0.523
0.037 0.497
0.074 0.615
0.111 0.681
0.148 0.862
0.185 1.066
0.222 1.377
0.259 1.524
0.296 1.594
0.333 1.433
0.37 1.084
0.407 1.295
0.444 1.293
0.481 1.604
0.519 1.956
0.556 2.629
0.593 3.043
0.63 2.827
0.667 2.181
0.704 1.847
0.741 1.261
0.778 0.77
0.815 0.697
0.852 0.398
0.889 0.183
0.926 0.036
0.963 0.059
1 0
1.037 0.127
1.074 0.167
1.111 0.5
1.148 0.638
1.185 0.67
&
@target G4.S2
@type xy
-0.147 2.7
-0.118 1.819
-0.088 1.603
-0.059 1.434
-0.029 0.776
0 0.643
0.029 0.801
0.059 1.106
0.088 1.408
0.118 1.32
0.147 1.186
0.176 1.385
0.206 1.183
0.235 0.947
0.265 1.386
0.294 1.588
0.324 1.746
0.353 1.805
0.382 1.522
0.412 1.387
0.441 1.412
0.471 1.346
0.5 1.409
0.529 1.437
0.559 1.775
0.588 2.206
0.618 2.625
0.647 2.779
0.676 3.118
0.706 3.065
0.735 2.887
0.765 2.608
0.794 2.571
0.824 2.414
0.853 1.953
0.882 1.691
0.912 1.123
0.941 0.513
0.971 0.297
1 0
&
@target G5.S0
@type xy
-0.111 1.71
-0.074 1.088
-0.037 0.976
0 0.892
0.037 0.95
0.074 0.771
0.111 0.872
0.148 0.973
0.185 1.106
0.222 1.241
0.259 1.569
0.296 1.924
0.333 2.367
0.37 2.804
0.407 3.217
0.444 3.764
0.481 4.23
0.519 4.964
0.556 5.286
0.593 5.23
0.63 5.004
0.667 4.313
0.704 3.377
0.741 2.77
0.778 2.125
0.815 1.507
0.852 1.065
0.889 0.579
0.926 0.327
0.963 0.045
1 0.011
1.037 0
1.074 0.219
1.111 0.42
1.148 0.626
1.185 0.746
1.222 0.95
&
@target G5.S1
@type xy
-0.857 4.583
-0.81 4.029
-0.762 3.509
-0.714 3.157
-0.667 3.066
-0.619 2.722
-0.571 2.424
-0.524 2.169
